time_s,template_normalized_negative_peak_minus1
0.000000000000000000e+00,2.218235866733290207e-01
1.041666666666666632e-05,2.183296785480796365e-01
2.083333333333333264e-05,2.144912617448945791e-01
3.125000000000000065e-05,2.102836094043020743e-01
4.166666666666666528e-05,2.056811654324059990e-01
5.208333333333333668e-05,2.006576176793365140e-01
6.250000000000000130e-05,1.951859842870391215e-01
7.291666666666667270e-05,1.892387137561559185e-01
8.333333333333333055e-05,1.827877991948247682e-01
9.375000000000000195e-05,1.758049071113481632e-01
1.041666666666666734e-04,1.682615209978131632e-01
1.145833333333333312e-04,1.601290998230653628e-01
1.250000000000000026e-04,1.513792514112982379e-01
1.354166666666666605e-04,1.419839205275722216e-01
1.458333333333333454e-04,1.319155913246274070e-01
1.562500000000000033e-04,1.211475036275470735e-01
1.666666666666666611e-04,1.096538823454993039e-01
1.770833333333333461e-04,9.741017910454838336e-02
1.875000000000000039e-04,8.439332499427804057e-02
1.979166666666666618e-04,7.058199311576773827e-02
2.083333333333333467e-04,5.595686941173368817e-02
2.187500000000000046e-04,4.050093005384796524e-02
2.291666666666666624e-04,2.419972346023546717e-02
2.395833333333333203e-04,7.041654820743200455e-03
2.500000000000000052e-04,-1.098172917812635652e-02
2.604166666666666631e-04,-2.987545790961126241e-02
2.708333333333333209e-04,-4.964085928230949074e-02
2.812499999999999787e-04,-7.027528991062825803e-02
2.916666666666666908e-04,-9.177187587108506794e-02
3.020833333333333487e-04,-1.141192670255521541e-01
3.125000000000000065e-04,-1.373014079543995736e-01
3.229166666666666644e-04,-1.612973285734737861e-01
3.333333333333333222e-04,-1.860809575065641985e-01
3.437499999999999801e-04,-2.116209612473798907e-01
3.541666666666666921e-04,-2.378806120703771121e-01
3.645833333333333500e-04,-2.648176875367901917e-01
3.750000000000000078e-04,-2.923844042900982654e-01
3.854166666666666657e-04,-3.205273886436218467e-01
3.958333333333333235e-04,-3.491876862322441100e-01
4.062499999999999814e-04,-3.783008127311948687e-01
4.166666666666666934e-04,-4.077968473388405291e-01
4.270833333333333513e-04,-4.376005703794914048e-01
4.375000000000000091e-04,-4.676316460089657845e-01
4.479166666666666670e-04,-4.978048506032317078e-01
4.583333333333333248e-04,-5.280303469826294060e-01
4.687499999999999827e-04,-5.582140041752491344e-01
4.791666666666666405e-04,-5.882577619577569195e-01
4.895833333333332983e-04,-6.180600389355757063e-01
5.000000000000000104e-04,-6.475161824423829593e-01
5.104166666666666140e-04,-6.765189580572977812e-01
5.208333333333333261e-04,-7.049590760630253250e-01
5.312500000000000382e-04,-7.327257517058320957e-01
5.416666666666666418e-04,-7.597072956748799344e-01
5.520833333333333539e-04,-7.857917308003835588e-01
5.624999999999999575e-04,-8.108674305833881713e-01
5.729166666666666696e-04,-8.348237748205848963e-01
5.833333333333333816e-04,-8.575518172809662998e-01
5.937499999999999853e-04,-8.789449601324016426e-01
6.041666666666666973e-04,-8.988996296099119876e-01
6.145833333333333010e-04,-9.173159472674846660e-01
6.250000000000000130e-04,-9.340983910649813815e-01
6.354166666666666166e-04,-9.491564405134891302e-01
6.458333333333333287e-04,-9.624052001380960508e-01
6.562500000000000408e-04,-9.737659956173247977e-01
6.666666666666666444e-04,-9.831669371233034971e-01
6.770833333333333565e-04,-9.905434446152294736e-01
6.874999999999999601e-04,-9.958387301289334248e-01
